	Genus		Species/Infraspecies	spEpithet	Cultivar	use	Trade Name	Group	Priority	Region	Distribution	Source	Notes	Last Review	Status
	Quercus		serrata	serrata		TRUE			Med	EA	"Deciduous forests; below 100-2000 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, S Liaoning, Shaanxi, Shandong, S Shanxi, Sichuan, Taiwan, Yunnan, Zhejiang [Japan, Korea]"	"Gansu, Shanxi"		2015
x	Quercus		shumardii	shumardii		TRUE		Sect. Lobatae	High	NA	US: SE and Midwest. Mesic slopes and bottoms (0-500m)			2015
	Quercus		similis	similis		TRUE		Sect. Quercus	Med	NA	"US: SE - Forests in wet stream bottoms, flatwoods, river valleys; 0-300 m"	Arkansas or South Carolina		2015
	Quercus		sinuata	sinuata		TRUE		Sect. Quercus	Med	NA	"US: SE - Low wet areas, hummocks, riparian and limestone bluffs and prairies; 0-400 m"	Arkansas or Carolinas		2015
x	Quercus		stellata	stellata		TRUE		Sect. Quercus	High	NA	"US: Eastern - Usually on xeric sites, dry gravelly and sandy ridges and uplands, dry clays, prairies and limestone hills, woodlands and deciduous forests; 0-750 m"			2015
	Quercus	x	sterilis	sterilis		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. nigra x Q. marilandica	2015
	Quercus	x	sternbergii	sternbergii		FALSE		Sect. Lobatae	Med	NA	Texas		Q. shumardii x Q. buckleyi	2015
	Quercus	x	subfalcata	subfalcata		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. falcata x Q. phellos	2015
	Quercus		texana	texana	New Madrid	FALSE		Sect. Lobatae	Med	GD	Garden origin			2015
	Quercus		texana	texana		TRUE		Sect. Lobatae	Med	NA	"US: LA, AR, MS area: Floodplains and bottomlands (0-200m)"			2015
	Quercus	x	tridentata	tridentata		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. marilandica x Q.imbricaria	2015	
	Quercus		trojana	trojana		TRUE			Low	EU	"Balkan peninsula, mainly in West"	Bulgaria or Frmr. Yugoslavia		2015
	Quercus	x	undulata	undulata		FALSE		Sect. Quercus	Med	NA	Uncertain		Q. gambeli x Q. turbinella	2015
	Quercus		vaccinifolia	vaccinifolia		TRUE		Sect. Protobalanus	Low	NA	"US:  CA, NV, OR. Dry ridges (900-2800m)"	High elevation	With appropriate drainage this may be possible to grow as a prostrate shrub.	2015
	Quercus		variabilis	variabilis		TRUE		Sect. Cerris	Med	EA	"Evergreen and deciduous forests; below 3000 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Yunnan, Zhejiang"			2015
	Quercus		velutina	velutina		TRUE		Sect. Lobatae	High	NA	US: Eastern. Dry slopes and upland areas (0-1500m)			2015
	Quercus		virginiana	virginiana		TRUE		Sect. Quercus	Low	NA	"US: Coastal plain, open evergreen woodlands, scrublands, and hummocks on loam, clay, and rarely on sand on immediate coast; 0-200 m"	Tony and Michael's VA population		2015
	Quercus	x	warei	warei	Chimney Fire	FALSE		Sect. Quercus	Med	GD	Garden origin		Qxwarei x Q. alba - red fall color	2015
	Quercus	x	warei	warei	Long	FALSE	REGAL PRINCE	Sect. Quercus	Med	GD	Garden origin			2015
	Quercus	x	warei	warei	Nadler	FALSE	KINDRED SPIRIT	Sect. Quercus	Med	GD	Garden origin			2015
	Quercus	x	warei	warei		FALSE		Sect. Quercus	Med	GD	Garden origin			2015
	Quercus		yunnanensis	yunnanensis		TRUE		?	Low	EA	"CN: Broad-leaved and mixed mesophytic forests; 1000-2800 m. Guangdong, Guangxi, Guizhou, W Hubei, Sichuan, Yunnan"	"Hubei, Sichuan"	Close relative of Q. dentata	2015
	Quercus			#VALUE!	Firecracker	FALSE		Sect. Quercus	Med	GD	Garden origin		Q. petraea 'Muscaviensis' x Q. robur 'Fastiaga' - Guy Sternberg - 2nd flush with red highlights	2015
	Quercus			#VALUE!	Firewater	FALSE		Sec. Lobatae	Med	GD	Garden origin		Nigra x coccinea	2015
