PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
63-2002*1,Tilia dasystyla subsp. caucasica,Caucasus Linden,,w,Arnold Arboretum of Harvard University,,?,,Central & Western Asia,,FF-71,85-91,
159-45*3,Tilia cordata,Little-leaved Linden,,g,The Morton Arboretum,,,,Tilia,,X-56,50-40,
145-2012*1,Tilia japonica,Japanese Linden,,w,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",Japan,?,"Japan, Niigata, Minamiuonuma, along Route Prefectural 560, 2.8 km NE of Jct. RP76 (old route above tunnel), Tochikubo",East Tilia,,O-89,80-15,
327-94*1,Tilia mongolica,Mongolian Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",China,north section,DD-64,09-00,
202-2018*1,Tilia 'Zamoyskiana',Zamoyski's Linden,,g,Kankakee Nursery Company,,,,East Tilia,,O-87,19-97,
587-54*1,Tilia platyphyllos 'Pyramidalis',Pyramidal Big-leaved Linden,,g,The Morton Arboretum,,,,Tilia,,W-57,25-55,
200-2017*1,Tilia americana 'McKSentry',American Basswood,AMERICAN SENTRY,g,Johnson's Nursery,,,,East Tilia,,Q-91,65-37,
857-55*1,Tilia europaea 'Tortuosa',Corkscrew European Linden,,g,The Morton Arboretum,,,,Tilia,,Z-55,70-35,
1015-40*5,Tilia americana 'Moltkei',Moltke's Basswood,,g,The Morton Arboretum,,,,Forest Road,south side,N-90,06-23,
13-2001*1,Tilia platyphyllos,Big-leaved Linden,,w,Okologisch Botanischer Garten Universitat Bayreuth (Ecologic Botanic Garden,Germany,?,"Germany, Bavaria, near Hollfeld, Gottelhof and Frank",Central Europe,,CC-34,84-64,
815-2004*5,Tilia americana 'McKSentry',American Basswood,AMERICAN SENTRY,g,"Shemin Nurseries, Inc.",,,,Arbor Court,,L-48,87-86,
589-55*4,Tilia platyphyllos,Big-leaved Linden,,g,F. J. Grootendorst & Son,,,,Tilia,,W-55,50-65,
580-54*2,Tilia japonica,Japanese Linden,,g,The Morton Arboretum,,,,Korea,,R-64,60-83,
1016-40*4,Tilia americana 'Moltkei',Moltke's Basswood,,g,The Morton Arboretum,,,,Forest Road,south side,M-90,99-53,
1015-40*1,Tilia americana 'Moltkei',Moltke's Basswood,,g,The Morton Arboretum,,,,Forest Road,south side,K-88,94-13,
63-2002*3,Tilia dasystyla subsp. caucasica,Caucasus Linden,,w,Arnold Arboretum of Harvard University,,?,,Central & Western Asia,,FF-72,65-06,
363-94*2,Tilia mongolica,Mongolian Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Yanqing, at Da Zhaung Ke (Old Village), Song Shan Forest Preserve",Korea,,P-64,84-82,
602-81*1,Tilia americana var. heterophylla 'Continental Appeal',Continental Appeal White Basswood,,g,Wandell's Nursery Inc.,,,,Hedge Garden,south section,H-45,85-25,
78-77*1,Tilia orbicularis,Round-leaved Linden,,g,The Morton Arboretum,,,,Tilia,,Z-54,52-73,
602-81*2,Tilia americana var. heterophylla 'Continental Appeal',Continental Appeal White Basswood,,g,Wandell's Nursery Inc.,,,,Hedge Garden,south section,I-43,32-07,
363-94*3,Tilia mongolica,Mongolian Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Yanqing, at Da Zhaung Ke (Old Village), Song Shan Forest Preserve",Korea,,T-67,28-19,
1439-24*2,Tilia americana var. americana,American Basswood,,w,The Morton Arboretum-Staff,United States of America,"Teuscher, H","United States of America, Illinois, Carroll, along the Mississippi River near Savannah",Tilia,,Z-51,85-80,
202-2017*2,Tilia americana 'Redmond',Redmond American Basswood,,g,Johnson's Nursery,,,,East Tilia,,Q-91,48-89,
983-39*1,Tilia americana 'Moltkei',Moltke's Basswood,,g,The Morton Arboretum,,,,Forest Road,north side,N-87,40-17,
225-79*1,Tilia americana,American Basswood,,w,The Morton Arboretum-Staff,United States of America,"Schulenberg, RF","United States of America, Illinois, Jo Daviess, 1.5 miles northeast of Elizabeth along the Apple River",Northern Illinois,,J-59,95-66,
187-2017*1,Tilia cordata 'Greenspire',Greenspire lttle-leaved linden,,g,Hinsdale Nurseries Inc.,,,,East Tilia,,P-91,93-41,
1016-40*3,Tilia americana 'Moltkei',Moltke's Basswood,,g,The Morton Arboretum,,,,Forest Road,south side,K-90,66-48,
39-2015*4,Tilia mongolica,Mongolian Linden,,z,The Morton Arboretum,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",China,south section,X-62,31-85,
363-94*1,Tilia mongolica,Mongolian Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Yanqing, at Da Zhaung Ke (Old Village), Song Shan Forest Preserve",China,central section,AA-67,71-37,
1346-2004*3,Tilia tomentosa 'Sterling',Silver Linden,STERLING SILVER,g,Moon Nurseries of Maryland,,,,Childrens Garden,Windmill Garden,J-50,18-06,
540-76*7,Tilia americana 'Redmond',Redmond American Basswood,,g,Matt Tures Sons Nursery,,,,Ground Cover Garden,east side,J-46,29-36,
815-2004*1,Tilia americana 'McKSentry',American Basswood,AMERICAN SENTRY,g,"Shemin Nurseries, Inc.",,,,Arbor Court,,L-48,86-30,
250-64*2,Tilia,Linden,,g,Cole Nursery Co.,,,,Forest Road,south side,E-79,65-60,
77-77*1,Tilia oliveri,Oliver's Linden,,z,The Morton Arboretum,China (PRC),"Wilson, EH","China (PRC), Hubei",China,central section,AA-65,59-44,
435-83*1,Tilia cordata,Little-leaved Linden,,w,Ogrod Botaniczny Uniwersytetu Warszawskiego Warsaw University Botanic Garde,Poland,?,"Poland, Wroctaw, Mietkow",Kings Grove,,JJ-73,42-58,
815-2004*3,Tilia americana 'McKSentry',American Basswood,AMERICAN SENTRY,g,"Shemin Nurseries, Inc.",,,,Arbor Court,,M-48,01-54,
580-54*1,Tilia japonica,Japanese Linden,,g,The Morton Arboretum,,,,Korea,,R-63,90-89,
225-79*4,Tilia americana,American Basswood,,w,The Morton Arboretum-Staff,United States of America,"Schulenberg, RF","United States of America, Illinois, Jo Daviess, 1.5 miles northeast of Elizabeth along the Apple River",Northern Illinois,,K-59,30-36,
39-2015*3,Tilia mongolica,Mongolian Linden,,z,The Morton Arboretum,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",East Tilia,,Q-92,26-49,
363-94*9,Tilia mongolica,Mongolian Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Yanqing, at Da Zhaung Ke (Old Village), Song Shan Forest Preserve",East Tilia,,O-89,06-16,
1040-65*2,Tilia tomentosa,Silver Linden,,g,Hermann A. Hesse Baumschulen,,,,Tilia,,X-57,30-75,
283-95*1,Tilia americana var. americana,American Basswood,,g,Klehm Nursery,,,,Thornhill Parking,west side,MM-24,32-85,
1056-58*2,Tilia mongolica,Mongolian Linden,,g,"Skinner's Nursery, Ltd.",,,,Tilia,,X-57,45-30,
134-63*1,Tilia cordata,Little-leaved Linden,,g,Cole Nursery Co.,,,,Tree Evaluation Plot,,D-100,49-80,
250-64*1,Tilia,Linden,,g,Cole Nursery Co.,,,,Forest Road,south side,E-79,80-60,
797-29*2,Tilia americana 'Moltkei',Moltke's Basswood,,g,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,,,,Sargent's Glade,north section,HH-22,62-61,
111-94*3,Tilia americana 'Redmond',Redmond American Basswood,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,87-97,
111-94*1,Tilia americana 'Redmond',Redmond American Basswood,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,86-62,
131-40*4,Tilia tomentosa,Silver Linden,,g,Princeton Nurseries,,,,Tilia,,U-54,45-50,
42-2005*1,Tilia 'Harvest Gold',Harvest Gold Linden,,g,"Bailey Nurseries, Inc.",,,,Parking 33,west side,L-33,19-57,
798-56*2,Tilia platyphyllos 'Laciniata',Cut-leaved Big-leaved Linden,,g,The Morton Arboretum,,,,Tilia,,V-55,50-15,
904-2005*1,Tilia paucicostata,Few-ribbed Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Diebu",East Tilia,,O-87,02-72,
1448-24*1,Tilia americana 'Moltkei',Moltke's Basswood,,g,Arnold Arboretum of Harvard University,,,,Central Europe,,Z-31,40-90,
435-83*2,Tilia cordata,Little-leaved Linden,,w,Ogrod Botaniczny Uniwersytetu Warszawskiego Warsaw University Botanic Garde,Poland,?,"Poland, Wroctaw, Mietkow",Central Europe,,Y-32,40-69,
363-94*10,Tilia mongolica,Mongolian Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Yanqing, at Da Zhaung Ke (Old Village), Song Shan Forest Preserve",East Tilia,,O-89,35-24,
85-91*1,Tilia amurensis,Amur Linden,,w,Research Institute of Ecology and Botany Hungarian Academy of Sciences Bota,N. Korea,"Kósa, G","N. Korea, Kangwon-do, Kumgang Mtns., south of Wonson, in central part of east coast",Korea,,Q-66,24-23,
496-82*5,Tilia tomentosa,Silver Linden,,w,Research Institute of Ecology and Botany Hungarian Academy of Sciences Bota,Hungary,?,"Hungary, Villangi Mts. near Harkang",Central & Western Asia,,CC-68,61-96,
151-81*2,Tilia dasystyla subsp. caucasica,Caucasus Linden,,w,Mary Flagler Cary Arboretum Cary Institute of Ecosystem Studies,U.S.S.R.,?,"U.S.S.R., N. Caucasus Mts., Mt. Mashuk above Pyatigorsk",Central & Western Asia,,BB-70,64-40,
342-2001*1,Tilia cordata,Little-leaved Linden,,w,Arboretum Novy Dvur Slezske semske muzeum Opava Arboretum Novy Dvur of Sile,Czech Republic,?,"Czech Republic, North Moravia, Hradec nad Moravici, Prirodni park Moravice Nature Reserve, Moravice River valley, Jesenicke podhuri Mts.",Central Europe,,DD-34,27-38,
580-54*4,Tilia japonica,Japanese Linden,,g,The Morton Arboretum,,,,Tilia,,Z-55,30-00,
166-U*2,Tilia americana var. americana,American Basswood,,u,,,,,Anacardiaceae,,X-59,19-67,
155-32*1,Tilia platyphyllos 'Vitifolia',Grape-leaved Linden,,g,Munden Botanic Institute,,,,Forest Road,south side,K-88,51-07,
797-29*1,Tilia americana 'Moltkei',Moltke's Basswood,,g,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,,,,Sargent's Glade,north section,GG-22,49-27,
153-2011*1,Tilia cordata 'Corzam',Little-leaved Linden,CORINTHIAN,g,"Lake County Nursery, Inc. (Lake County Nursery Exchange)",,,,East Tilia,,L-86,48-64,
151-81*1,Tilia dasystyla subsp. caucasica,Caucasus Linden,,w,Mary Flagler Cary Arboretum Cary Institute of Ecosystem Studies,U.S.S.R.,?,"U.S.S.R., N. Caucasus Mts., Mt. Mashuk above Pyatigorsk",Central & Western Asia,,BB-70,50-05,
494-2008*6,Tilia paucicostata subsp. dictyoneura,Few-ribbed Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,China (PRC),,"China (PRC), Gansu, Maiji, at Manping",China,north section,CC-66,81-41,
821-37*1,Tilia americana var. americana,American Basswood,,g,Hermann A. Hesse Baumschulen,,,,Tilia,,W-56,15-60,
39-2015*1,Tilia mongolica,Mongolian Linden,,z,The Morton Arboretum,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",East Tilia,,Q-92,02-49,
1346-2004*2,Tilia tomentosa 'Sterling',Silver Linden,STERLING SILVER,g,Moon Nurseries of Maryland,,,,Childrens Garden,Windmill Garden,J-50,07-99,
333-72*5,Tilia americana var. americana,American Basswood,,g,Kankakee Nursery Company,,,,Acer,Krick Memorial Grove,Z-106,10-80,
342-2001*3,Tilia cordata,Little-leaved Linden,,w,Arboretum Novy Dvur Slezske semske muzeum Opava Arboretum Novy Dvur of Sile,Czech Republic,?,"Czech Republic, North Moravia, Hradec nad Moravici, Prirodni park Moravice Nature Reserve, Moravice River valley, Jesenicke podhuri Mts.",Central Europe,,DD-34,66-13,
38-89*1,Tilia americana var. americana,American Basswood,,w,Rivendell Botanic Garden,United States of America,?,"United States of America, Illinois, Adams",Midwest,,P-72,54-21,
342-2004*1,Tilia amurensis,Amur Linden,,z,The Morton Arboretum,N. Korea,"Kósa, G","N. Korea, Kangwon-do, Kumgang Mtns., south of Wonson, in central part of east coast",Korea,,P-63,95-89,
850-55*1,Tilia americana var. americana,American Basswood,,g,The Morton Arboretum,,,,Tilia,,X-56,95-30,
551-42*1,Tilia americana var. americana,American Basswood,,g,Bryants Nurseries,,,,Ozark,west side,O-25,77-56,
540-76*2,Tilia americana 'Redmond',Redmond American Basswood,,g,Matt Tures Sons Nursery,,,,Ground Cover Garden,west side,J-45,05-96,
485-53*1,Tilia japonica,Japanese Linden,,g,Arnold Arboretum of Harvard University,,,,Tilia,,Z-55,90-90,
145-2012*2,Tilia japonica,Japanese Linden,,w,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",Japan,?,"Japan, Niigata, Minamiuonuma, along Route Prefectural 560, 2.8 km NE of Jct. RP76 (old route above tunnel), Tochikubo",East Tilia,,O-89,99-37,
1015-40*4,Tilia americana 'Moltkei',Moltke's Basswood,,g,The Morton Arboretum,,,,Forest Road,north side,N-90,60-03,
2122-23*1,Tilia americana var. americana,American Basswood,,w,The Morton Arboretum-Staff,United States of America,"Teuscher, H","United States of America, Illinois, Carroll, along the Mississippi River near Savannah",Tilia,,Z-54,20-30,
300-97*2,Tilia amurensis,Amur Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1997 Jilin China,China (PRC),,"China (PRC), Jilin, Changbai",China,south section,X-64,16-61,
334-97*1,Tilia mandshurica,Manchurian Linden,,w,North America-China Plant Exploration Consortium (NACPEC) 1997 Jilin China,China (PRC),,"China (PRC), Jilin, Antu, on Changbai Shan near Erdao Baihe",China,central section,CC-69,18-33,
174-2016*1,Tilia cordata 'Greenspire',Greenspire lttle-leaved linden,,g,Hinsdale Nurseries Inc.,,,,Gateway to Tree Science,,F-101,34-49,
159-45*1,Tilia cordata,Little-leaved Linden,,g,The Morton Arboretum,,,,Tilia,,W-56,45-25,
632-83*1,Tilia platyphyllos,Big-leaved Linden,,w,"Botanischer Garten, Section Biowissenschaften, Martin-Luther-Universitat Ha",German Democratic Republic,,"German Democratic Republic, Magdeburg, near Zerbst",Tilia,,AA-54,18-92,
339-84*1,Tilia americana 'Redmond',Redmond American Basswood,,g,Matt Tures Sons Nursery,,,,Fragrance Garden,south bed,JJ-25,82-38,
567-32*1,Tilia americana var. americana,American Basswood,,g,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,,,,Ozark,west side,N-25,94-67,
217-90*2,Tilia europaea,European Linden,,g,The Morton Arboretum,,,,Tilia,,AA-54,33-65,
266-2017*1,Ulmus davidiana 'JFS KW2UD',Father David's Elm,GREENSTONE,g,J. Frank Schmidt & Son Co.,,,,Ulmaceae,,W-50,85-34,
182-2017*5,Ulmus davidiana var. japonica 'Morton',Japanese Elm,ACCOLADE,g,Hinsdale Nurseries Inc.,,,,Ulmaceae,,V-52,86-02,
269-2008*2,Ulmus davidiana var. japonica 'Morton',Japanese Elm,ACCOLADE,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,T-46,12-56,
47-95*1,Ulmus chenmoui,Chenmou Elm,,w,The Morton Arboretum Research Program,China (PRC),?,"China (PRC), Anhui, site not noted",China,south section,Z-69,61-38,
949-73*2,Ulmus glabra,Scots Elm,,g,Botanical Garden of the Komarov Botanical Institute,,,,Central & Western Asia,,EE-71,92-18,
46-95*2,Ulmus castaneifolia,Chestnut-leaved Elm,,w,The Morton Arboretum Research Program,China (PRC),?,"China (PRC), site not noted",Ulmaceae,,Y-52,00-70,
553-2001*2,Ulmus glabra,Scots Elm,,w,The Morton Arboretum Research Program,Georgia,,"Georgia, along road between Bolnisi and Manglisi near Pantini southwest of Tibilisi",Central & Western Asia,,EE-70,42-01,
271-2008*11,Ulmus 'New Horizon',New Horizon Elm,,g,"Beaver Creek Nursery, Inc.",,,,Tollway Berm,west berm,AY-63,50-26,
12-2013*2,Ulmus pseudopropinqua,False Corkbark Elm,,z,The Morton Arboretum,China (PRC),,"China (PRC), Heilongjiang, in Harbin",China,central section,BB-64,02-59,
585-2006*3,Ulmus harbinensis,Harbin Elm,,z,The Morton Arboretum-Staff,China (PRC),,"China (PRC), Heilongjiang, in the Harbin Zoo, Harbin",Ulmaceae,,Y-52,71-11,
50-95*5,Ulmus laciniata,Manchurian Elm,,w,The Morton Arboretum Research Program,China (PRC),?,"China (PRC), Liaoning, site not noted",China,north section,BB-63,74-44,
48-86*1,Ulmus parvifolia,Lacebark Elm,,w,United States National Arboretum,Republic of Korea,"Yinger, B","Republic of Korea, South Chungchong, at Chonju Church, Korea Taean Up, Sosan Gun",Ulmaceae,,X-50,51-31,
213-2012*1,Ulmus davidiana var. japonica 'Prospector',Prospector Japanese Elm,,g,J. Frank Schmidt & Son Co.,,,,Ulmaceae,,Z-53,12-82,
206-2008*3,Ulmus hollandica 'Pioneer',Pioneer Netherland Elm,,g,"Bailey Nurseries, Inc.",,,,Ulmaceae,,Z-52,46-66,
179-2017*1,Ulmus americana 'Princeton',Princeton American Elm,,g,Hinsdale Nurseries Inc.,,,,Hedge Garden,south section,H-46,58-76,
22-2008*3,Ulmus davidiana var. japonica 'Validation',Validation Japanese Elm,,g,The Morton Arboretum Research Program,,,,Ulmaceae,,U-53,04-48,
591-54*1,Ulmus glabra,Scots Elm,,g,Arnold Arboretum of Harvard University,,,,Ulmaceae,,X-50,00-45,
