PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
206-40*9,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Visitor Center Parking,picnic area,S-51,25-85,
1513-35*4,Quercus shumardii,Shumard's Oak,,g,Missouri Botanical Garden,,,,Quercus,north section,N-103,09-73,
398-2009*1,Quercus robur subsp. pedunculiflora,Peduncled English Oak,,z,,Azerbaijan,?,Azerbaijan,Quercus,north section,H-99,11-01,
635-48*4,Quercus rubra var. borealis,Northern Red Oak,,g,Arnold Arboretum of Harvard University,,,,Centennial Grove,,AZ-58,50-94,
928-62*1,Quercus schuettei,Schuett's Oak,,g,Shaw Arboretum of the Missouri Botanical Garden,,,,Quercus,north section,M-102,60-55,
143-63*3,Quercus rubra,Northern Red Oak,,g,Lights Landscape Nurseryman,,,,Tree Evaluation Plot,,B-99,03-84,
1516-35*1,Quercus macrocarpa,Bur Oak,,g,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,,,,Quercus,north section,I-103,40-50,
2386-26*4,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,Q-83,83-37,
2387-26*31,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,K-83,93-03,
2387-26*38,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-82,41-87,
136-U*4,Quercus ellipsoidalis,Hill's Oak,,u,,,,,Hemlock Hill,,Q-11,20-40,
2387-26*64,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,M-84,16-38,
27-95*7,Quercus hartwissiana,Hartwiss' Oak,,w,Istanbul University Orman Fakultesi Silvikultur Ara Bilim Dah,Turkey,?,"Turkey, Black Sea, Zonguldak, on the northwest Black Sea area near Yenice Cit dere",Central Europe,,EE-34,46-39,
362-96*8,Quercus marilandica,Blackjack Oak,,w,The Morton Arboretum,United States of America,"Sternberg, G","United States of America, Missouri, Phelps",Quercus,north section,M-102,28-93,
530-2008*10,Quercus aliena var. acutiserrata,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,China (PRC),,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",Quercus,south section,H-103,26-45,
215-51*1,Quercus shumardii var. schneckii,Schneck's Oak,,g,"Siebenthaler Nursery, The Siebenthaler Co.",,,,Quercus,north section,M-98,77-08,
56-98*15,Quercus alba,White Oak,,g,"Schroeder's Nursery, Inc.",,,,Sargent's Glade,south section,AA-21,99-44,
478-2001*3,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Lenart, ME","United States of America, Illinois, Effingham",Midwest,,O-61,32-02,
433-2013*3,Quercus rubra,Northern Red Oak,,g,Possibility Place Nursery,,,,Founder's Grove,southeast section,CC-29,65-57,
54-2007*1,Quercus macrocarpa,Bur Oak,,g,Possibility Place Nursery,,,,Thornhill Overflow Lot,median,PP-21,24-38,
316-85*1,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Firefly Pond,,G-43,72-02,
768-54*1,Quercus prinoides,Dwarf Chinkapin Oak,,w,,United States of America,"Logue, EC","United States of America, Pennsylvania, from State College grounds",Quercus,north section,K-99,52-35,
260-93*2,Quercus ilicifolia,Bear Oak,,w,Reeseville Ridge Nursery,United States of America,?,"United States of America, West Virginia, in the southeastern part of Monongahela National Forest",Quercus,north section,J-100,80-58,
1294-2004*2,Quercus bicolor,Swamp White Oak,,g,Eisler Nursery,,,,Childrens Garden,"Bloom, Zoom, & Sprou",J-50,30-52,
138-U*13,Quercus macrocarpa,Bur Oak,,u,,,,,Cornaceae,,S-24,83-67,
137-U*4,Quercus imbricaria,Shingle Oak,,u,,,,,Forest Road,south side,J-74,75-45,
134-U*39,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,LL-27,64-42,
2386-26*18,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-83,56-07,
2175-29*1,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,Sunfish Pond,,S-35,83-78,
207-2004*2,Quercus bicolor,Swamp White Oak,,g,"Possibility Place Nursery, Inc.",,,,Schulenberg Prairie,Willoway tributary,S-011,69-66,
517-82*1,Quercus dentata,Daimyo Oak,,g,Purdue University Department of Forestry,,,,Fagaceae,south section,J-15,85-06,
2175-29*19,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,T-82,32-40,
570-78*7,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Shaw, CB","United States of America, Illinois, Will, in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line",Ozark,north side,S-29,10-00,
2387-26*36,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-82,26-72,
634-49*2,Quercus schochiana,Schoch's Oak,,g,,,,,Rosaceae,,B-65,63-08,
539-96*9,Quercus michauxii,Swamp Chestnut Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Missouri, Mississippi, in picnic ground at Big Oak Tree State Park",Midwest,,L-67,17-19,
141-38*5,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Firefly Pond,,H-42,15-56,
2387-26*11,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-82,83-90,
1164-22*15,Quercus palustris,Pin Oak,,g,D. Hill Nursery Co.,,,,North Forestry Plot,south side,S-83,94-42,
2387-26*22,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-84,86-15,
138-U*41,Quercus macrocarpa,Bur Oak,,u,,,,,Schulenberg Prairie,upper prairie,H-04,15-52,
189-94*1,Quercus acutissima,Sawtooth Oak,,g,Klehm Nursery,,,,Thornhill Parking,west median,NN-25,23-79,
755-79*2,Quercus alba,White Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Iroquois, along the northern edge of the Iroquois County Conservation Area",Midwest,,M-59,21-49,
1173-2004*3,Quercus coccinea,Scarlet Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Ste. Genevieve, west edge of Hawn State Park",Ozark,north side,Q-26,90-50,
365-2007*7,Quercus prinoides,Dwarf Chinkapin Oak,,w,The Morton Arboretum Research Program,United States of America,"Hipp, AL","United States of America, Michigan, Washtenaw, Hankerd Road Sand Barrens, adjacent to Pickerel Lake",Quercus,north section,J-102,98-15,
2387-26*29,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,K-83,69-44,
1155-2004*2,Quercus rubra,Northern Red Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Arkansas, Yell, Hwy 309 N toward Magazine Mtn from the south in National Forest",Ozark,west side,R-25,63-44,
644-33*1,Quercus acutissima,Sawtooth Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,north section,K-99,20-05,
21-2012*3,Quercus robur subsp. pedunculiflora,Peduncled English Oak,,z,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",Azerbaijan,?,"Azerbaijan, Khachmaz, at Khudat",Quercus,north section,J-104,64-63,
13-35*1,Quercus palustris,Pin Oak,,g,Otto Katzenstein & Co.,,,,Quercus,south section,H-103,90-90,
209-2012*2,Quercus robur 'Skymaster',Skymaster English Oak,,g,J. Frank Schmidt & Son Co.,,,,Quercus,south section,L-96,52-86,
340-2002*2,Quercus aliena,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,China (PRC),,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",Quercus,north section,L-98,84-48,
145-75*8,Quercus gambelii,Gambel's Oak,,w,The Morton Arboretum-Staff,United States of America,?,"United States of America, Colorado, Teller",Quercus,north section,L-98,53-05,
2387-26*24,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,K-82,45-71,
109-2018*1,Quercus bicolor,Swamp White Oak,,g,"Possibility Place Nursery, Inc.",,,,Pine Hill,,V-8,49-77,
1443-2004*1,Quercus macrocarpa,Bur Oak,,g,Poplar Farms Nursery & Produce Inc.,,,,Visitor Center Parking,southeast median,O-46,49-06,
552-2001*1,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Kings Grove,,DD-105,71-88,
417-45*3,Quercus buckleyi,Buckley's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Rosaceae,,B-58,68-94,
570-78*5,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Shaw, CB","United States of America, Illinois, Will, in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line",Fagaceae,north section,L-13,05-84,
139-U*16,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,west side,F-57,71-35,
2387-26*58,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-84,82-08,
139-U*35,Quercus palustris,Pin Oak,,u,,,,,Kings Grove,,DD-128,79-58,
1134-2004*4,Quercus marilandica,Blackjack Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Franklin, along I-44 roadside, old Rte 66",Ozark,west side,R-25,00-83,
702-2006*1,Quercus macrocarpa,Bur Oak,,w,International Oak Society Seed Exchange,United States of America,?,"United States of America, Texas, Texas A & M Research Station",Quercus,south section,L-93,65-72,
2386-26*1,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,Q-82,90-96,
132-2015*1,Quercus macrocarpa,Bur Oak,,g,Possibility Place Nursery,,,,Quercus,south section,G-103,38-06,
395-2000*2,Quercus ellipsoidalis,Hill's Oak,,g,"Possibility Place Nursery, Inc.",,,,Big Rock Visitor Station,,Z-113,12-00,
120-2006*3,Quercus macrocarpa 'Lippert',Lippert Bur Oak,,w,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",United States of America,,"United States of America, Oklahoma, Payne, Stillwater City Park, Stillwater",Quercus,south section,L-94,82-40,
120-2006*2,Quercus macrocarpa 'Lippert',Lippert Bur Oak,,w,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",United States of America,,"United States of America, Oklahoma, Payne, Stillwater City Park, Stillwater",Quercus,south section,L-94,30-35,
700-46*1,Quercus pagoda,Cherry-barked Oak,,w,Deam Arboretum,United States of America,"Deam, CC","United States of America, Indiana, Posey",Quercus,north section,N-103,91-44,
616-30*6,Quercus deamii,Deam's Oak,,u,Arnold Arboretum of Harvard University,,,,Quercus,north section,L-98,11-09,
776-54*1,Quercus robur 'Fastigiata',Upright English Oak,,g,The Morton Arboretum,,,,Forest Road,south side,E-80,33-64,
2387-26*23,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-84,87-56,
138-U*48,Quercus macrocarpa,Bur Oak,,u,,,,,Prairie Visitor Station,,S-08,96-40,
52-98*2,Quercus rubra,Northern Red Oak,,g,"Stonegate Farm Nursery & Landscaping, Inc.",,,,Big Burl Woods,,AA-19,30-70,
202-44*2,Quercus palustris,Pin Oak,,g,Kallay Brothers Company,,,,Hatch Meadow,,FF-38,17-58,
2175-29*16,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,T-82,03-93,
136-U*9,Quercus ellipsoidalis,Hill's Oak,,u,,,,,Kings Grove,,Y-95,45-10,
755-79*1,Quercus alba,White Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Iroquois, along the northern edge of the Iroquois County Conservation Area",Northern Illinois,,K-58,19-34,
476-2017*2,Quercus bicolor,Swamp White Oak,,g,The Morton Arboretum Research Program,,,,Gateway to Tree Science,,D-98,99-35,
2-2003*7,Quercus 'K. B. Crystal',K. B. Crystal Oak,,g,"Heritage Seedlings, Inc.",,,,Visitor Center Parking,southwest median,R-46,04-08,
2386-26*6,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,Q-83,95-20,
21-2012*2,Quercus robur subsp. pedunculiflora,Peduncled English Oak,,z,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",Azerbaijan,?,"Azerbaijan, Khachmaz, at Khudat",Quercus,north section,J-104,35-79,
354-37*1,Quercus rubra,Northern Red Oak,,g,,,,,Quercus,north section,I-103,38-92,
2175-29*25,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,T-82,23-83,
2385-26*20,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,T-82,50-89,
286-97*2,Quercus dalechampii,Italian Oak,,w,Starhill Forest Arboretum,Hungary,?,"Hungary, in Zemplen Mountains, Edobeluge Nord 3 km.",Quercus,north section,K-101,50-54,
12-2004*3,Quercus bicolor,Swamp White Oak,,w,Starhill Forest Arboretum,United States of America,"Sternberg, G","United States of America, Illinois, Menard",Quercus,north section,O-95,28-23,
537-82*12,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Cook, near Sauk Lake in Sauk Trail Forest Preserve",Fagaceae,south section,J-13,44-28,
1279-2004*2,Quercus macrocarpa,Bur Oak,,g,"Bailey Nurseries, Inc.",,,,Childrens Garden,Central Plaza,J-52,94-03,
258-2004*1,Quercus petraea subsp. iberica,Georgian Oak,,w,Arboretum Novy Dvur Slezske semske muzeum Opava Arboretum Novy Dvur of Sile,Czech Republic,?,"Czech Republic, North Moravia, Prerov, in Jesenicke podhuri Mts. at Lhotka village, near Hranice na Morave",Quercus,south section,K-96,50-23,
1261-26*2,Quercus macrocarpa,Bur Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,north section,K-104,80-30,
433-2013*2,Quercus rubra,Northern Red Oak,,g,Possibility Place Nursery,,,,Founder's Grove,southeast section,CC-29,38-55,
390-2006*3,Quercus ellipsoidalis,Hill's Oak,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,Under The Trees,J-54,31-89,
704-46*2,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Quercus,north section,M-103,10-82,
862-34*1,Quercus alba,White Oak,,g,,,,,Quercus,north section,J-103,03-73,
502-2000*1,Quercus imbricaria,Shingle Oak,,w,,United States of America,"Lenart, ME","United States of America, Illinois, Clay",Midwest,,M-68,68-72,
417-45*9,Quercus buckleyi,Buckley's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Rosaceae,,C-58,20-43,
399-U*1,Quercus benderi,Bender's Oak,,u,,,,,Visitor Center Parking,picnic area,R-51,74-66,
551-2005*3,Quercus bicolor,Swamp White Oak,,g,Schichtel's Nursery,,,,Childrens Garden,Secret Stream,I-54,42-21,
1271-22*4,Quercus bicolor,Swamp White Oak,,g,L. E. Williams Nursery Co.,,,,Kings Grove,,V-71,47-77,
552-2001*2,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Kings Grove,,DD-105,93-86,
207-40*1,Quercus montana,Chestnut Oak,,g,H. Kohankie & Son,,,,Visitor Center Parking,picnic area,S-51,20-60,
1134-2004*5,Quercus marilandica,Blackjack Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Franklin, along I-44 roadside, old Rte 66",Quercus,south section,J-94,63-87,
2385-26*21,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,T-82,53-73,
392-2011*1,Quercus aliena,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,China (PRC),,China (PRC),Quercus,south section,J-97,75-27,
768-54*4,Quercus prinoides,Dwarf Chinkapin Oak,,w,,United States of America,"Logue, EC","United States of America, Pennsylvania, from State College grounds",Quercus,north section,K-99,80-21,
768-54*2,Quercus prinoides,Dwarf Chinkapin Oak,,w,,United States of America,"Logue, EC","United States of America, Pennsylvania, from State College grounds",Quercus,north section,K-99,60-23,
138-U*18,Quercus macrocarpa,Bur Oak,,u,,,,,Kings Grove,,P-81,91-83,
138-U*43,Quercus macrocarpa,Bur Oak,,u,,,,,Schulenberg Prairie,upper prairie,H-04,63-61,
2387-26*13,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-83,37-60,
145-75*2,Quercus gambelii,Gambel's Oak,,w,The Morton Arboretum-Staff,United States of America,?,"United States of America, Colorado, Teller",Quercus,north section,L-97,48-81,
2385-26*2,Quercus alba,White Oak,,u,,United States of America,?,United States of America,South Forestry Plot,north side,M-84,57-55,
134-U*16,Quercus alba,White Oak,,u,,,,,Appalachia,south section,Z-74,99-34,
704-46*13,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Rosaceae,,B-67,61-50,
391-2006*1,Quercus imbricaria,Shingle Oak,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,The Grotto,I-54,64-28,
143-63*2,Quercus rubra,Northern Red Oak,,g,Lights Landscape Nurseryman,,,,Tree Evaluation Plot,,B-99,08-36,
436-2004*1,Quercus georgiana,Georgia Oak,,w,Harvard University Herbarium,United States of America,?,"United States of America, Georgia",Appalachia,north section,BB-73,25-65,
142-U*15,Quercus rubra,Northern Red Oak,,w,Spontaneous plant of The Morton Arboretum,,,,Gateway to Tree Science,,F-105,27-00,
11-86*2,Quercus stellata,Post Oak,,w,The Morton Arboretum Research Program,United States of America,?,"United States of America, Missouri, Lawrence",Fagaceae,north section,L-15,17-47,
2385-26*22,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,T-83,33-06,
616-30*1,Quercus deamii,Deam's Oak,,u,Arnold Arboretum of Harvard University,,,,Quercus,south section,K-96,02-95,
2387-26*62,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,M-84,09-56,
74-2002*4,Quercus acutissima,Sawtooth Oak,,g,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",Japan,?,"Japan, Osaka, on grounds of Osaka Prefectural University",Quercus,south section,N-94,02-68,
56-98*17,Quercus alba,White Oak,,g,"Schroeder's Nursery, Inc.",,,,Sargent's Glade,south section,BB-22,73-07,
305-94*4,Quercus marilandica,Blackjack Oak,,w,International Oak Society Seed Exchange,United States of America,"Green, T","United States of America, Illinois, Henderson, near Oquaka",Quercus,north section,K-102,57-78,
468-2001*1,Quercus alba,White Oak,,w,The Morton Arboretum,United States of America,"Hedborn Jr, EA","United States of America, Michigan, Berrien, along St. Joseph River along River Trail on Fernwood Botanical Garden northwest of Niles",Midwest,,M-69,36-47,
17-2011*2,Quercus faginea subsp. faginea,Portugese Oak,,g,,,,,Quercus,north section,J-104,39-10,
2387-26*15,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-83,54-75,
215-91*2,Quercus muehlenbergii,Chinkapin Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Fremont, 8 mi. east of Nebraska City, south of IA 2, on top of east bluff overlooking Missouri River in Waubonsie State Park",Quercus,north section,L-103,72-44,
122-88*1,Quercus muehlenbergii,Chinkapin Oak,,g,The Morton Arboretum Research Program,,,,Forecourt,,M-45,62-36,
214-91*3,Quercus bicolor,Swamp White Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Warren, along the south side of the North River about 2 miles southwest of Norwalk and 0.5 miles west of IA-28",Quercus,north section,N-102,40-29,
339-2002*4,Quercus variabilis,Oriental Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,China (PRC),,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",Quercus,south section,G-101,91-84,
1164-2004*4,Quercus falcata,Southern Red Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Arkansas, Cross, Village Creek State Park near visitor center parking lot",Ozark,west side,R-27,17-01,
2386-26*8,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-82,33-77,
171-2008*2,Quercus warei 'Long',Ware's Oak,REGAL PRINCE,g,The Morton Arboretum: Plant Sale,,,,Quercus,north section,J-100,95-85,
52-98*3,Quercus rubra,Northern Red Oak,,g,"Stonegate Farm Nursery & Landscaping, Inc.",,,,Sargent's Glade,south section,AA-20,19-12,
214-91*8,Quercus bicolor,Swamp White Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Warren, along the south side of the North River about 2 miles southwest of Norwalk and 0.5 miles west of IA-28",Fagaceae,south section,M-19,18-17,
1271-22*1,Quercus bicolor,Swamp White Oak,,g,L. E. Williams Nursery Co.,,,,Kings Grove,,U-72,89-31,
1140-2004*1,Quercus fernowii,Fernow's Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Stone, at Cedar Hollow Resort on Table Rock Lake, on edge of parking lot",Quercus,south section,L-93,98-97,
749-34*1,Quercus bebbiana,Bebb's Oak,,g,,,,,Quercus,north section,J-103,23-45,
2387-26*47,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,58-28,
2387-26*63,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,M-84,15-24,
704-46*5,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Meadow Lake,south side,O-50,20-95,
471-2017*2,Quercus rubra,Northern Red Oak,,g,The Morton Arboretum Research Program,,,,Gateway to Tree Science,,D-98,54-66,
538-82*2,Quercus rubra,Northern Red Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Cook, from above Sauk Lake in Sauk Trail Forest Preserve",Northern Illinois,,K-61,20-96,
2387-26*55,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,97-76,
433-2013*8,Quercus rubra,Northern Red Oak,,g,Possibility Place Nursery,,,,Founder's Grove,southwest section,DD-29,28-12,
2387-26*2,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-82,36-81,
431-94*1,Quercus rubra,Northern Red Oak,,g,King Nursery,,,,Meadow Lake,north side,R-51,54-82,
527-2000*4,Quercus macrocarpa,Bur Oak,,w,International Oak Society Seed Exchange,United States of America,"Sternberg, G","United States of America, Illinois, Menard",Midwest,,N-67,34-10,
852-2005*4,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Kangle, at Xian Jia Wan",China,south section,W-65,55-34,
1271-22*8,Quercus bicolor,Swamp White Oak,,g,L. E. Williams Nursery Co.,,,,Kings Grove,,V-72,56-35,
2387-26*9,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-82,68-90,
180-93*7,Quercus robur,English Oak,,w,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",Russia,"Linden, PJ van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",Quercus,north section,N-98,59-59,
602-2000*2,Quercus montana,Chestnut Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,United States of America,,"United States of America, Virginia, Craig, at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest",Quercus,south section,H-103,15-80,
343-94*1,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",Quercus,north section,N-97,01-33,
20-2012*2,Quercus petraea subsp. iberica,Georgian Oak,,z,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",Azerbaijan,?,"Azerbaijan, Shamakhi, near Shamakhi/Shemakha (Samaxi)",Quercus,north section,H-100,95-29,
704-46*11,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Rosaceae,,B-66,55-92,
2387-26*57,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-84,76-63,
549-82*4,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Northern Illinois,,K-60,42-72,
2387-26*18,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-83,71-90,
27-95*8,Quercus hartwissiana,Hartwiss' Oak,,w,Istanbul University Orman Fakultesi Silvikultur Ara Bilim Dah,Turkey,?,"Turkey, Black Sea, Zonguldak, on the northwest Black Sea area near Yenice Cit dere",Central & Western Asia,,EE-71,34-07,
768-54*5,Quercus prinoides,Dwarf Chinkapin Oak,,w,,United States of America,"Logue, EC","United States of America, Pennsylvania, from State College grounds",Quercus,north section,K-99,86-33,
138-U*25,Quercus macrocarpa,Bur Oak,,u,,,,,Lake Marmo,north side,U-15,73-39,
56-98*12,Quercus alba,White Oak,,g,"Schroeder's Nursery, Inc.",,,,Sargent's Glade,south section,AA-20,65-85,
471-42*3,Quercus jackiana,Jack's Oak,,g,The Morton Arboretum,,,,Quercus,north section,M-101,15-72,
305-94*2,Quercus marilandica,Blackjack Oak,,w,International Oak Society Seed Exchange,United States of America,"Green, T","United States of America, Illinois, Henderson, near Oquaka",Quercus,north section,K-102,12-84,
134-U*26,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,KK-28,86-11,
139-U*3,Quercus palustris,Pin Oak,,u,,,,,Quercus,south section,H-106,29-31,
138-U*42,Quercus macrocarpa,Bur Oak,,u,,,,,Schulenberg Prairie,upper prairie,H-04,26-32,
127-2009*1,Quercus macdanielii 'Clemons',Macdaniel's Oak,HERITAGE,g,"Beaver Creek Nursery, Inc.",,,,Thornhill Parking,shelter,MM-28,03-40,
1258-26*3,Quercus deamii,Deam's Oak,,z,Arnold Arboretum of Harvard University,United States of America,"Deam, CC","United States of America, Indiana, Wells, near Bluffton",Quercus,north section,J-104,03-20,
316-85*4,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Sargent's Glade,south section,W-19,88-23,
89-95*1,Quercus alba,White Oak,,g,"Beeson's McHenry County Nursery, Inc.",,,,Thornhill Parking,shelter,NN-29,13-93,
36-2007*1,Quercus warei 'Long',Ware's Oak,REGAL PRINCE,g,"Bailey Nurseries, Inc.",,,,Godshalk Meadow,north side,N-30,51-55,
587-83*3,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, near the Burlington Northern Railroad at Millington",Appalachia,south section,Z-74,98-66,
27-2007*1,Quercus pubescens,Downy Oak,,g,The Morton Arboretum,,,,Quercus,south section,H-100,93-62,
